type_propriete,quartier,arrondissement,capacite_accueil,salle_de_bain,chambres,lits,prix,nb_commentaires,note_moyenne,nb_mois_en_activite
Complète,Gobelins,75013,2,1.0,1.0,1.0,48.0,14,86.0,37.0
Complète,Ménilmontant,75020,4,1.5,1.0,0.0,46.0,9,70.0,61.0
Complète,Entrepôt,75010,3,1.0,,2.0,30.0,12,90.0,11.0
Complète,Temple,75003,2,1.0,,1.0,74.0,19,96.0,5.0
Chambre privée,Entrepôt,75010,2,1.0,1.0,1.0,44.0,7,76.0,17.0
Complète,Bourse,75002,2,1.0,1.0,1.0,110.0,301,97.0,78.0
Complète,Panthéon,75005,2,1.0,,1.0,58.0,4,90.0,36.0
Complète,Ménilmontant,75020,3,1.0,1.0,2.0,75.0,53,95.0,45.0
Complète,Opéra,75009,4,1.0,1.0,2.0,109.0,5,100.0,2.0
Complète,Vaugirard,75015,2,1.0,1.0,1.0,90.0,14,95.0,11.0
Complète,Buttes-Chaumont,75019,3,1.0,1.0,2.0,49.0,1,100.0,0.0
Complète,Palais-Bourbon,75007,2,1.0,1.0,1.0,95.0,85,95.0,46.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,60.0,84,97.0,59.0
Complète,Buttes-Montmartre,75018,2,1.0,,1.0,50.0,55,98.0,63.0
Complète,Reuilly,75012,4,1.0,2.0,3.0,75.0,4,93.0,40.0
Complète,Opéra,75009,4,1.0,1.0,2.0,160.0,0,,
Complète,Entrepôt,75010,1,0.0,1.0,2.0,55.0,22,95.0,25.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,60.0,42,90.0,67.0
Complète,Observatoire,75014,2,1.0,,1.0,55.0,57,90.0,51.0
Complète,Louvre,75001,2,1.0,1.0,2.0,80.0,69,93.0,59.0
Complète,Ménilmontant,75020,2,1.0,1.0,1.0,35.0,5,96.0,71.0
Complète,Entrepôt,75010,3,1.0,1.0,2.0,40.0,4,95.0,25.0
Complète,Buttes-Montmartre,75018,4,1.0,2.0,3.0,90.0,2,90.0,2.0
Complète,Popincourt,75011,2,1.0,,1.0,40.0,0,,
Complète,Entrepôt,75010,3,1.0,1.0,1.0,65.0,22,98.0,17.0
Complète,Opéra,75009,2,1.0,,2.0,63.0,85,97.0,66.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,75.0,0,,
Complète,Reuilly,75012,2,1.0,1.0,1.0,95.0,19,95.0,32.0
Complète,Buttes-Montmartre,75018,2,1.0,,1.0,50.0,174,94.0,70.0
Complète,Buttes-Chaumont,75019,4,1.0,2.0,2.0,100.0,0,,
Complète,Bourse,75002,2,1.0,,1.0,85.0,61,95.0,60.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,2.0,35.0,3,90.0,4.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,54.0,2,90.0,2.0
Complète,Opéra,75009,4,1.0,1.0,1.0,43.0,5,96.0,34.0
Complète,Bourse,75002,2,1.0,1.0,1.0,95.0,14,99.0,32.0
Complète,Buttes-Montmartre,75018,3,1.0,1.0,1.0,80.0,1,,0.0
Complète,Ménilmontant,75020,2,1.0,1.0,2.0,95.0,10,98.0,65.0
Complète,Entrepôt,75010,4,1.0,1.0,2.0,108.0,0,,
Complète,Popincourt,75011,2,1.0,1.0,1.0,65.0,19,89.0,54.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,90.0,11,100.0,24.0
