type_propriete,quartier,arrondissement,capacite_accueil,salle_de_bain,chambres,lits,prix,nb_commentaires,note_moyenne,nb_mois_en_activite
Complète,Observatoire,75014,2,1.0,,1.0,60.0,9,100.0,34.0
Complète,Hôtel-de-Ville,75004,4,1.0,2.0,2.0,90.0,272,94.0,119.0
Complète,Opéra,75009,2,1.0,1.0,1.0,130.0,6,96.0,64.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,75.0,26,98.0,91.0
Chambre privée,Entrepôt,75010,6,1.0,1.0,3.0,170.0,149,92.0,66.0
Complète,Gobelins,75013,3,1.0,1.0,1.0,110.0,85,98.0,87.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,90.0,11,88.0,86.0
Complète,Buttes-Montmartre,75018,2,1.0,,0.0,75.0,200,91.0,95.0
Complète,Gobelins,75013,5,1.0,1.0,3.0,70.0,30,90.0,68.0
Complète,Hôtel-de-Ville,75004,4,1.0,1.0,1.0,78.0,365,92.0,126.0
Chambre privée,Luxembourg,75006,4,1.5,1.0,2.0,66.0,88,98.0,131.0
Complète,Opéra,75009,3,1.0,2.0,2.0,110.0,3,80.0,99.0
Chambre privée,Opéra,75009,1,1.5,1.0,1.0,65.0,126,95.0,110.0
Complète,Louvre,75001,2,1.5,1.0,1.0,250.0,163,93.0,134.0
Chambre privée,Buttes-Montmartre,75018,1,1.0,1.0,1.0,85.0,32,80.0,73.0
Complète,Opéra,75009,2,1.0,,1.0,59.0,88,88.0,117.0
Complète,Palais-Bourbon,75007,4,1.0,1.0,2.0,134.0,219,92.0,114.0
Complète,Reuilly,75012,5,1.0,2.0,3.0,197.0,101,96.0,132.0
Complète,Popincourt,75011,5,1.5,2.0,3.0,80.0,21,96.0,115.0
Complète,Bourse,75002,2,1.0,1.0,1.0,65.0,81,91.0,125.0
Complète,Bourse,75002,2,1.0,1.0,2.0,64.0,133,88.0,94.0
Complète,Ménilmontant,75020,5,1.0,2.0,4.0,120.0,7,91.0,25.0
Complète,Batignolles-Monceau,75017,2,1.0,2.0,2.0,49.0,9,80.0,56.0
Chambre privée,Ménilmontant,75020,2,1.0,1.0,1.0,50.0,10,94.0,32.0
Complète,Ménilmontant,75020,4,1.0,1.0,2.0,75.0,17,98.0,28.0
Complète,Batignolles-Monceau,75017,4,1.0,1.0,2.0,115.0,1,100.0,0.0
Chambre privée,Popincourt,75011,2,1.0,1.0,0.0,42.0,20,93.0,94.0
Complète,Gobelins,75013,4,1.5,2.0,2.0,80.0,144,94.0,107.0
Complète,Bourse,75002,2,1.0,1.0,1.0,85.0,68,96.0,86.0
Complète,Batignolles-Monceau,75017,4,1.0,2.0,4.0,105.0,9,90.0,42.0
Complète,Hôtel-de-Ville,75004,3,1.0,1.0,2.0,123.0,78,95.0,124.0
Complète,Opéra,75009,2,1.0,1.0,2.0,57.0,103,95.0,97.0
Complète,Buttes-Chaumont,75019,4,1.5,1.0,3.0,78.0,55,97.0,115.0
Complète,Batignolles-Monceau,75017,4,1.0,1.0,2.0,150.0,64,90.0,105.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,50.0,8,74.0,70.0
Chambre privée,Buttes-Montmartre,75018,2,1.0,1.0,1.0,36.0,58,92.0,106.0
Complète,Buttes-Montmartre,75018,4,2.5,2.0,3.0,143.0,19,98.0,122.0
Complète,Popincourt,75011,3,1.5,2.0,0.0,130.0,15,84.0,68.0
Complète,Buttes-Montmartre,75018,3,1.0,1.0,1.0,72.0,41,99.0,55.0
Complète,Opéra,75009,3,1.0,1.0,1.0,110.0,62,97.0,115.0
Complète,Élysée,75008,4,2.0,1.0,1.0,424.0,17,100.0,94.0
Complète,Buttes-Chaumont,75019,4,1.0,1.0,2.0,130.0,18,97.0,87.0
Complète,Buttes-Chaumont,75019,4,1.0,2.0,2.0,150.0,29,95.0,76.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,108.0,99,96.0,108.0
Complète,Panthéon,75005,4,1.0,1.0,1.0,100.0,143,96.0,109.0
Complète,Buttes-Chaumont,75019,2,1.0,1.0,2.0,60.0,3,100.0,11.0
Complète,Louvre,75001,2,1.0,,1.0,95.0,201,93.0,114.0
Complète,Temple,75003,3,1.5,1.0,2.0,139.0,123,97.0,108.0
Complète,Gobelins,75013,4,1.0,3.0,3.0,80.0,8,98.0,47.0
Complète,Louvre,75001,3,1.0,1.0,2.0,135.0,76,97.0,107.0
Complète,Batignolles-Monceau,75017,4,1.0,1.0,1.0,118.0,56,91.0,50.0
Chambre privée,Gobelins,75013,1,1.0,1.0,1.0,28.0,39,86.0,118.0
Chambre privée,Panthéon,75005,1,1.5,1.0,1.0,60.0,38,96.0,104.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,79.0,55,96.0,104.0
Complète,Buttes-Montmartre,75018,3,1.5,1.0,2.0,73.0,91,97.0,113.0
Complète,Louvre,75001,4,1.0,1.0,2.0,100.0,158,97.0,110.0
Complète,Ménilmontant,75020,2,1.0,1.0,1.0,55.0,13,100.0,96.0
Complète,Popincourt,75011,6,2.5,3.0,4.0,344.0,39,97.0,95.0
Complète,Gobelins,75013,1,1.0,1.0,1.0,45.0,85,93.0,96.0
Complète,Temple,75003,2,1.0,1.0,1.0,178.0,231,96.0,106.0
Complète,Temple,75003,6,1.0,2.0,4.0,115.0,9,95.0,72.0
Complète,Panthéon,75005,4,1.0,1.0,2.0,150.0,17,94.0,104.0
Complète,Ménilmontant,75020,2,1.0,1.0,0.0,65.0,9,98.0,49.0
Complète,Vaugirard,75015,2,1.0,1.0,1.0,119.0,54,97.0,48.0
Complète,Buttes-Montmartre,75018,7,1.0,3.0,3.0,130.0,125,85.0,67.0
Complète,Buttes-Montmartre,75018,5,1.0,1.0,2.0,95.0,6,93.0,45.0
Complète,Popincourt,75011,3,1.0,1.0,2.0,90.0,192,96.0,107.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,70.0,69,94.0,103.0
Complète,Opéra,75009,6,1.0,2.0,3.0,179.0,156,91.0,101.0
Complète,Temple,75003,2,1.0,1.0,1.0,90.0,35,92.0,69.0
Complète,Popincourt,75011,4,1.0,1.0,2.0,80.0,186,93.0,96.0
Complète,Ménilmontant,75020,2,1.0,1.0,2.0,40.0,8,94.0,71.0
Complète,Bourse,75002,2,1.0,1.0,0.0,100.0,292,97.0,91.0
Complète,Passy,75016,2,1.0,1.0,1.0,99.0,10,100.0,28.0
Complète,Buttes-Chaumont,75019,6,2.0,3.0,6.0,150.0,20,97.0,73.0
Chambre privée,Bourse,75002,1,1.5,1.0,1.0,50.0,0,,
Complète,Buttes-Chaumont,75019,4,1.0,1.0,2.0,75.0,168,94.0,59.0
Complète,Buttes-Montmartre,75018,5,1.0,2.0,3.0,133.0,47,98.0,91.0
Complète,Bourse,75002,4,2.0,2.0,5.0,190.0,24,94.0,103.0
Complète,Passy,75016,2,1.0,,0.0,176.0,42,94.0,99.0
Chambre privée,Buttes-Chaumont,75019,1,1.0,1.0,2.0,40.0,17,89.0,87.0
Complète,Bourse,75002,4,1.0,1.0,2.0,98.0,73,96.0,113.0
Complète,Entrepôt,75010,4,1.0,1.0,3.0,65.0,200,89.0,114.0
Chambre privée,Buttes-Chaumont,75019,6,1.0,1.0,0.0,40.0,18,95.0,75.0
Chambre privée,Ménilmontant,75020,2,1.0,1.0,1.0,40.0,12,78.0,115.0
Complète,Buttes-Montmartre,75018,6,1.0,1.0,3.0,70.0,6,90.0,36.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,2.0,74.0,20,95.0,17.0
Complète,Entrepôt,75010,3,1.0,1.0,2.0,49.0,29,87.0,81.0
Complète,Élysée,75008,4,1.0,1.0,2.0,103.0,713,86.0,114.0
Chambre privée,Ménilmontant,75020,2,1.0,1.0,1.0,40.0,18,92.0,70.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,100.0,4,100.0,6.0
Complète,Temple,75003,2,1.0,,2.0,89.0,75,93.0,97.0
Complète,Entrepôt,75010,4,1.0,2.0,2.0,160.0,80,91.0,100.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,70.0,83,93.0,89.0
Chambre privée,Buttes-Chaumont,75019,2,1.0,1.0,1.0,38.0,6,93.0,39.0
Complète,Ménilmontant,75020,2,1.0,1.0,1.0,35.0,12,98.0,68.0
Complète,Élysée,75008,2,1.0,1.0,1.0,60.0,326,86.0,110.0
Complète,Gobelins,75013,3,1.0,1.0,2.0,70.0,9,96.0,72.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,80.0,29,98.0,64.0
Complète,Vaugirard,75015,2,1.0,1.0,1.0,150.0,55,97.0,99.0
Complète,Ménilmontant,75020,2,1.0,1.0,1.0,70.0,55,97.0,100.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,97.0,0,,
Complète,Temple,75003,2,1.0,1.0,1.0,79.0,34,88.0,59.0
Complète,Vaugirard,75015,5,1.0,,3.0,198.0,154,87.0,100.0
Complète,Bourse,75002,2,1.0,1.0,1.0,90.0,142,95.0,70.0
Complète,Hôtel-de-Ville,75004,6,2.0,2.0,5.0,142.0,20,87.0,74.0
Complète,Temple,75003,2,1.0,1.0,1.0,59.0,141,88.0,82.0
Complète,Popincourt,75011,4,2.0,2.0,2.0,115.0,142,97.0,101.0
Complète,Ménilmontant,75020,2,1.5,2.0,3.0,53.0,11,98.0,85.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,54.0,224,94.0,114.0
Complète,Buttes-Chaumont,75019,3,1.5,2.0,3.0,200.0,2,100.0,66.0
Complète,Palais-Bourbon,75007,2,1.5,1.0,1.0,109.0,16,97.0,6.0
Complète,Entrepôt,75010,6,2.0,4.0,4.0,250.0,14,97.0,89.0
Chambre privée,Entrepôt,75010,1,1.0,1.0,1.0,26.0,130,88.0,114.0
Chambre privée,Entrepôt,75010,2,1.0,1.0,1.0,40.0,32,93.0,109.0
Complète,Panthéon,75005,2,1.0,1.0,0.0,76.0,420,97.0,96.0
Chambre privée,Buttes-Montmartre,75018,2,1.0,1.0,1.0,55.0,135,91.0,87.0
Complète,Observatoire,75014,2,1.0,1.0,1.0,40.0,22,93.0,86.0
Complète,Bourse,75002,3,1.0,1.0,2.0,215.0,6,77.0,91.0
Complète,Popincourt,75011,5,1.0,3.0,3.0,200.0,81,97.0,93.0
Complète,Popincourt,75011,4,1.0,1.0,2.0,75.0,4,93.0,11.0
Complète,Panthéon,75005,6,1.0,2.0,3.0,160.0,211,94.0,100.0
Complète,Batignolles-Monceau,75017,4,1.0,3.0,3.0,550.0,13,95.0,49.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,155.0,198,95.0,109.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,2.0,80.0,19,94.0,51.0
Complète,Entrepôt,75010,5,1.0,2.0,2.0,100.0,253,94.0,107.0
Complète,Observatoire,75014,2,1.0,1.0,1.0,50.0,0,,
Complète,Luxembourg,75006,4,1.0,1.0,2.0,44.0,70,84.0,113.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,62.0,82,99.0,113.0
Chambre privée,Buttes-Montmartre,75018,2,1.0,1.0,1.0,60.0,255,92.0,105.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,87.0,21,97.0,89.0
Complète,Reuilly,75012,2,1.0,1.0,1.0,65.0,20,94.0,69.0
Complète,Buttes-Chaumont,75019,2,1.0,,1.0,85.0,319,95.0,109.0
Complète,Batignolles-Monceau,75017,3,1.0,1.0,1.0,75.0,6,90.0,67.0
Complète,Opéra,75009,2,1.0,1.0,1.0,159.0,34,97.0,78.0
Complète,Luxembourg,75006,2,1.5,1.0,1.0,230.0,62,98.0,105.0
Chambre privée,Temple,75003,2,1.0,1.0,1.0,70.0,21,96.0,39.0
Complète,Passy,75016,4,1.0,1.0,2.0,89.0,18,93.0,84.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,39.0,5,92.0,2.0
Complète,Buttes-Montmartre,75018,8,1.0,3.0,3.0,170.0,120,93.0,96.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,1.0,98.0,85,98.0,102.0
Chambre privée,Buttes-Chaumont,75019,2,1.5,1.0,1.0,70.0,9,97.0,11.0
Complète,Temple,75003,4,1.0,1.0,1.0,220.0,28,98.0,99.0
Complète,Ménilmontant,75020,4,1.0,1.0,1.0,80.0,96,93.0,98.0
Complète,Observatoire,75014,2,1.0,1.0,1.0,95.0,156,88.0,107.0
Chambre privée,Buttes-Chaumont,75019,1,1.0,1.0,1.0,35.0,16,95.0,36.0
Complète,Panthéon,75005,4,1.0,1.0,4.0,109.0,168,90.0,75.0
Complète,Louvre,75001,2,1.0,,1.0,69.0,103,92.0,107.0
Complète,Batignolles-Monceau,75017,2,1.0,1.0,1.0,100.0,1,100.0,0.0
Complète,Passy,75016,2,1.5,1.0,1.0,220.0,32,98.0,100.0
Complète,Buttes-Montmartre,75018,5,1.0,1.0,1.0,100.0,59,95.0,97.0
Complète,Élysée,75008,2,1.0,1.0,1.0,8000.0,52,89.0,63.0
Complète,Passy,75016,2,1.0,1.0,1.0,7000.0,33,90.0,53.0
Complète,Ménilmontant,75020,2,1.0,1.0,1.0,68.0,63,95.0,91.0
Complète,Popincourt,75011,5,1.0,2.0,3.0,80.0,51,93.0,93.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,80.0,31,98.0,108.0
Complète,Batignolles-Monceau,75017,4,1.0,1.0,1.0,80.0,4,90.0,32.0
Complète,Popincourt,75011,2,1.5,1.0,1.0,45.0,0,,
Complète,Temple,75003,5,2.0,3.0,3.0,170.0,30,93.0,96.0
Complète,Popincourt,75011,4,2.0,2.0,4.0,200.0,39,98.0,39.0
Chambre privée,Bourse,75002,1,2.0,1.0,1.0,48.0,417,93.0,106.0
Complète,Buttes-Montmartre,75018,1,1.0,1.0,0.0,59.0,164,96.0,99.0
Complète,Ménilmontant,75020,8,1.0,3.0,4.0,150.0,25,94.0,107.0
Complète,Panthéon,75005,3,1.0,1.0,1.0,120.0,30,100.0,98.0
Complète,Louvre,75001,6,1.0,2.0,0.0,181.0,252,90.0,62.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,81.0,125,91.0,107.0
Complète,Observatoire,75014,4,1.0,1.0,1.0,127.0,39,94.0,43.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,118.0,101,97.0,92.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,71.0,1,100.0,0.0
Complète,Buttes-Chaumont,75019,3,1.0,1.0,1.0,60.0,12,93.0,74.0
Complète,Élysée,75008,9,4.0,3.0,8.0,600.0,42,100.0,77.0
Complète,Buttes-Chaumont,75019,4,1.0,3.0,3.0,150.0,5,96.0,84.0
Complète,Temple,75003,2,1.0,1.0,1.0,100.0,35,95.0,98.0
Complète,Buttes-Montmartre,75018,2,1.0,,1.0,90.0,0,,
Complète,Panthéon,75005,4,1.5,2.0,2.0,150.0,14,93.0,89.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,2.0,50.0,6,80.0,2.0
Complète,Louvre,75001,4,1.0,2.0,2.0,350.0,38,95.0,88.0
Complète,Bourse,75002,2,1.0,1.0,0.0,130.0,57,97.0,93.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,90.0,108,91.0,91.0
Complète,Popincourt,75011,4,1.0,1.0,3.0,80.0,83,88.0,81.0
Chambre privée,Popincourt,75011,3,1.0,1.0,1.0,61.0,199,97.0,97.0
Complète,Bourse,75002,4,1.5,2.0,2.0,190.0,1,100.0,0.0
Complète,Entrepôt,75010,4,2.0,2.0,2.0,230.0,16,95.0,42.0
Complète,Opéra,75009,2,1.0,1.0,1.0,120.0,32,95.0,95.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,70.0,37,96.0,80.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,0.0,53.0,2,100.0,0.0
Chambre privée,Reuilly,75012,1,1.0,1.0,1.0,55.0,40,96.0,81.0
Complète,Bourse,75002,5,2.5,3.0,4.0,250.0,30,94.0,94.0
Complète,Entrepôt,75010,4,1.5,1.0,2.0,42.0,79,87.0,96.0
Complète,Reuilly,75012,4,1.0,2.0,1.0,100.0,44,91.0,93.0
Complète,Louvre,75001,4,1.0,1.0,1.0,129.0,143,96.0,94.0
Complète,Ménilmontant,75020,5,1.5,3.0,3.0,75.0,6,80.0,39.0
Chambre privée,Ménilmontant,75020,1,1.0,1.0,1.0,38.0,65,93.0,102.0
Complète,Hôtel-de-Ville,75004,2,1.0,1.0,0.0,89.0,217,97.0,99.0
Complète,Batignolles-Monceau,75017,4,2.5,4.0,5.0,106.0,5,100.0,15.0
Complète,Opéra,75009,4,1.0,1.0,1.0,92.0,86,96.0,37.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,1.0,55.0,206,81.0,108.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,55.0,5,96.0,40.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,50.0,39,95.0,109.0
Complète,Élysée,75008,2,1.0,1.0,1.0,80.0,75,91.0,97.0
Complète,Gobelins,75013,4,1.0,,2.0,60.0,148,97.0,97.0
Complète,Temple,75003,4,1.0,1.0,2.0,115.0,4,93.0,107.0
Complète,Temple,75003,4,1.0,1.0,2.0,118.0,13,93.0,102.0
Complète,Batignolles-Monceau,75017,3,1.0,1.0,2.0,245.0,3,87.0,57.0
Complète,Gobelins,75013,4,1.0,1.0,1.0,114.0,61,94.0,87.0
Complète,Gobelins,75013,3,1.0,1.0,2.0,71.0,51,97.0,105.0
Complète,Ménilmontant,75020,4,1.0,2.0,0.0,80.0,56,94.0,91.0
Complète,Temple,75003,2,1.0,1.0,1.0,75.0,104,88.0,103.0
Complète,Buttes-Montmartre,75018,4,1.0,2.0,3.0,97.0,73,94.0,94.0
Complète,Louvre,75001,4,1.0,2.0,2.0,120.0,4,98.0,9.0
Complète,Buttes-Chaumont,75019,2,1.0,1.0,1.0,80.0,35,93.0,78.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,2.0,58.0,192,91.0,108.0
Complète,Louvre,75001,2,1.0,1.0,1.0,115.0,89,95.0,52.0
Complète,Buttes-Chaumont,75019,6,2.0,3.0,3.0,280.0,1,100.0,0.0
Complète,Opéra,75009,4,1.0,2.0,2.0,128.0,32,94.0,90.0
Complète,Popincourt,75011,3,1.0,2.0,2.0,50.0,4,93.0,27.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,60.0,0,,
Complète,Temple,75003,4,1.0,2.0,5.0,151.0,56,94.0,93.0
Complète,Bourse,75002,4,1.5,1.0,3.0,120.0,246,96.0,96.0
Complète,Observatoire,75014,2,1.0,1.0,1.0,65.0,18,86.0,88.0
Chambre privée,Louvre,75001,3,1.0,1.0,1.0,65.0,283,91.0,78.0
Complète,Reuilly,75012,3,1.0,1.0,2.0,90.0,245,97.0,95.0
Complète,Popincourt,75011,3,1.0,1.0,1.0,180.0,29,100.0,93.0
Complète,Gobelins,75013,3,1.0,1.0,1.0,70.0,5,96.0,26.0
Complète,Vaugirard,75015,2,1.0,1.0,1.0,125.0,194,99.0,109.0
Complète,Entrepôt,75010,6,2.0,3.0,5.0,270.0,1,100.0,0.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,72.0,0,,
Complète,Popincourt,75011,2,1.0,1.0,2.0,110.0,7,100.0,64.0
Complète,Panthéon,75005,4,1.5,1.0,2.0,74.0,19,95.0,86.0
Complète,Luxembourg,75006,4,1.0,1.0,1.0,115.0,30,91.0,91.0
Complète,Hôtel-de-Ville,75004,2,1.0,1.0,1.0,40.0,0,,
Complète,Buttes-Chaumont,75019,2,1.0,1.0,1.0,69.0,15,91.0,70.0
Complète,Buttes-Chaumont,75019,4,1.0,2.0,2.0,160.0,14,97.0,89.0
Complète,Opéra,75009,5,1.0,1.0,3.0,214.0,290,95.0,89.0
Complète,Buttes-Montmartre,75018,8,1.0,4.0,9.0,250.0,33,99.0,95.0
Complète,Luxembourg,75006,5,1.5,,3.0,195.0,223,90.0,96.0
Complète,Vaugirard,75015,4,1.0,,2.0,161.0,6,97.0,32.0
Complète,Buttes-Montmartre,75018,4,1.0,2.0,2.0,110.0,89,93.0,92.0
Complète,Ménilmontant,75020,2,1.0,1.0,2.0,60.0,4,100.0,105.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,60.0,2,90.0,7.0
Chambre privée,Buttes-Chaumont,75019,2,1.0,1.0,1.0,60.0,19,94.0,81.0
Complète,Ménilmontant,75020,2,1.0,2.0,2.0,79.0,9,91.0,12.0
Chambre privée,Luxembourg,75006,3,1.0,1.0,0.0,70.0,110,90.0,83.0
Complète,Ménilmontant,75020,3,1.0,2.0,2.0,79.0,33,88.0,17.0
Complète,Panthéon,75005,2,1.0,1.0,1.0,45.0,20,97.0,99.0
Complète,Luxembourg,75006,6,1.0,,3.0,207.0,182,89.0,96.0
Complète,Observatoire,75014,8,2.0,4.0,5.0,440.0,1,100.0,0.0
Complète,Palais-Bourbon,75007,2,2.0,2.0,2.0,270.0,2,,1.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,70.0,40,98.0,100.0
Complète,Vaugirard,75015,2,1.0,1.0,0.0,78.0,60,94.0,106.0
Complète,Hôtel-de-Ville,75004,2,1.0,1.0,1.0,39.0,423,91.0,104.0
Complète,Temple,75003,10,1.5,3.0,6.0,400.0,82,94.0,88.0
Complète,Louvre,75001,4,1.0,1.0,2.0,185.0,66,97.0,92.0
Complète,Panthéon,75005,4,1.0,1.0,2.0,100.0,31,96.0,90.0
Complète,Temple,75003,4,1.0,1.0,1.0,93.0,97,98.0,88.0
Complète,Élysée,75008,4,1.5,3.0,3.0,260.0,140,98.0,83.0
Complète,Buttes-Chaumont,75019,7,2.0,2.0,2.0,200.0,25,90.0,93.0
Complète,Observatoire,75014,4,1.0,1.0,2.0,62.0,339,84.0,107.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,70.0,19,92.0,40.0
Complète,Luxembourg,75006,2,1.0,,1.0,90.0,168,96.0,88.0
Complète,Buttes-Montmartre,75018,5,2.5,3.0,3.0,160.0,245,99.0,107.0
Complète,Popincourt,75011,3,1.0,1.0,0.0,93.0,38,95.0,87.0
Complète,Ménilmontant,75020,4,1.0,1.0,1.0,70.0,1,100.0,0.0
Complète,Bourse,75002,2,1.5,,1.0,120.0,74,91.0,60.0
Chambre privée,Luxembourg,75006,2,1.0,1.0,1.0,35.0,219,88.0,43.0
Complète,Opéra,75009,2,1.0,1.0,1.0,76.0,2,100.0,9.0
Complète,Hôtel-de-Ville,75004,2,1.0,,1.0,109.0,428,95.0,105.0
Complète,Entrepôt,75010,6,2.0,3.0,4.0,99.0,31,97.0,91.0
Complète,Gobelins,75013,4,1.0,2.0,3.0,56.0,162,93.0,42.0
Complète,Reuilly,75012,3,1.0,3.0,3.0,180.0,8,89.0,27.0
Complète,Vaugirard,75015,2,1.0,1.0,1.0,99.0,27,96.0,93.0
Complète,Batignolles-Monceau,75017,2,1.0,1.0,1.0,80.0,0,,
Complète,Entrepôt,75010,2,1.0,1.0,1.0,34.0,35,92.0,101.0
Complète,Palais-Bourbon,75007,2,1.0,,0.0,110.0,14,92.0,88.0
Complète,Opéra,75009,2,1.0,1.0,1.0,95.0,40,97.0,93.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,75.0,223,99.0,106.0
Chambre privée,Reuilly,75012,2,1.0,1.0,1.0,50.0,486,96.0,100.0
Complète,Buttes-Montmartre,75018,5,1.0,1.0,3.0,84.0,64,83.0,69.0
Complète,Observatoire,75014,4,1.0,2.0,3.0,130.0,4,95.0,18.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,119.0,6,97.0,23.0
Complète,Popincourt,75011,2,1.0,1.0,2.0,55.0,1,,0.0
Complète,Temple,75003,5,2.0,2.0,3.0,200.0,28,99.0,8.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,100.0,0,,
Complète,Ménilmontant,75020,8,1.0,4.0,5.0,243.0,86,88.0,89.0
Complète,Entrepôt,75010,4,1.0,1.0,1.0,75.0,39,95.0,90.0
Complète,Temple,75003,2,1.5,1.0,1.0,235.0,106,95.0,93.0
Complète,Entrepôt,75010,5,1.0,3.0,4.0,175.0,12,91.0,79.0
Complète,Bourse,75002,4,1.5,2.0,2.0,210.0,129,98.0,94.0
Complète,Panthéon,75005,4,1.0,1.0,1.0,195.0,2,90.0,11.0
Complète,Ménilmontant,75020,4,1.0,2.0,3.0,130.0,56,98.0,87.0
Complète,Reuilly,75012,2,1.0,1.0,2.0,100.0,39,95.0,85.0
Complète,Ménilmontant,75020,8,3.0,3.0,5.0,314.0,98,95.0,107.0
Chambre privée,Popincourt,75011,2,1.0,1.0,1.0,39.0,280,91.0,95.0
Complète,Hôtel-de-Ville,75004,2,1.0,1.0,1.0,103.0,285,91.0,94.0
Complète,Bourse,75002,2,1.0,1.0,1.0,45.0,16,86.0,44.0
Complète,Bourse,75002,2,1.0,1.0,1.0,45.0,71,86.0,51.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,0.0,80.0,107,95.0,101.0
Complète,Hôtel-de-Ville,75004,1,1.0,1.0,2.0,165.0,4,85.0,11.0
Complète,Entrepôt,75010,6,1.5,3.0,3.0,120.0,11,98.0,103.0
Complète,Ménilmontant,75020,3,1.0,,1.0,50.0,13,94.0,45.0
Complète,Buttes-Chaumont,75019,2,1.0,1.0,1.0,45.0,19,95.0,107.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,2.0,80.0,33,97.0,69.0
Chambre privée,Ménilmontant,75020,1,1.0,1.0,1.0,50.0,6,97.0,5.0
Complète,Panthéon,75005,5,1.0,2.0,6.0,120.0,23,96.0,72.0
Chambre privée,Popincourt,75011,2,1.0,,0.0,47.0,7,100.0,104.0
Complète,Luxembourg,75006,5,1.0,2.0,3.0,125.0,220,96.0,94.0
Complète,Buttes-Montmartre,75018,6,2.0,4.0,6.0,250.0,1,100.0,0.0
Complète,Luxembourg,75006,2,1.0,1.0,1.0,73.0,4,100.0,61.0
Complète,Hôtel-de-Ville,75004,4,1.0,2.0,2.0,299.0,342,88.0,73.0
Complète,Buttes-Montmartre,75018,3,1.0,,2.0,80.0,56,88.0,61.0
Complète,Reuilly,75012,6,1.0,3.0,3.0,181.0,2,100.0,0.0
Complète,Buttes-Montmartre,75018,4,1.0,2.0,2.0,79.0,20,92.0,100.0
Complète,Popincourt,75011,4,1.5,2.0,3.0,150.0,4,100.0,10.0
Complète,Temple,75003,4,1.0,1.0,2.0,120.0,169,91.0,68.0
Complète,Entrepôt,75010,6,2.0,4.0,5.0,190.0,13,100.0,85.0
Complète,Buttes-Chaumont,75019,6,1.0,2.0,4.0,110.0,23,95.0,89.0
Complète,Temple,75003,2,1.0,1.0,1.0,130.0,38,97.0,82.0
Complète,Hôtel-de-Ville,75004,4,1.0,2.0,3.0,320.0,4,93.0,84.0
Complète,Buttes-Montmartre,75018,4,1.5,2.0,3.0,150.0,23,99.0,94.0
Complète,Opéra,75009,2,1.5,1.0,1.0,90.0,24,95.0,99.0
Complète,Reuilly,75012,3,1.0,2.0,2.0,56.0,6,95.0,72.0
Complète,Gobelins,75013,7,1.0,2.0,4.0,100.0,21,86.0,50.0
Complète,Temple,75003,2,1.0,1.0,1.0,115.0,125,99.0,93.0
Complète,Reuilly,75012,3,1.0,1.0,1.0,109.0,38,98.0,75.0
Complète,Ménilmontant,75020,2,1.0,1.0,1.0,50.0,32,94.0,93.0
Complète,Batignolles-Monceau,75017,5,2.0,2.0,4.0,388.0,8,92.0,76.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,2.0,43.0,38,90.0,66.0
Complète,Palais-Bourbon,75007,4,1.0,2.0,2.0,160.0,60,90.0,88.0
